qualifying_groups,match_74,match_77,match_79,match_80,match_81,match_82,match_85,match_87
ABCEGHIJ,3C,3G,3H,3I,3B,3A,3J,3E
ABCEFJKL,3C,3F,3E,3K,3B,3A,3J,3L
ABCEFIKL,3C,3F,3E,3K,3B,3A,3I,3L
ABCEFIJL,3C,3F,3E,3I,3B,3A,3J,3L
ABCEFIJK,3C,3F,3E,3K,3B,3A,3J,3I
ABCEFHKL,3C,3F,3H,3K,3B,3A,3E,3L
ABCEFHJL,3C,3F,3H,3E,3B,3A,3J,3L
ABCEFHJK,3C,3F,3H,3K,3B,3A,3J,3E
ABCEFHIL,3C,3F,3H,3I,3B,3A,3E,3L
ABCEFHIK,3C,3F,3H,3K,3B,3A,3E,3I
ABCEFHIJ,3C,3F,3H,3I,3B,3A,3J,3E
ABCEFGKL,3C,3F,3E,3K,3B,3A,3G,3L
